,precision,recall,f1-score,support
normal,0.7289719626168224,0.8571428571428571,0.7878787878787878,91.0
high_pollution,0.9966066301226834,0.9924616584351442,0.9945298254753843,3847.0
accuracy,0.98933468765871,0.98933468765871,0.98933468765871,0.98933468765871
macro avg,0.8627892963697529,0.9248022577890007,0.8912043066770861,3938.0
weighted avg,0.9904220809243509,0.98933468765871,0.989754496775209,3938.0
