,precision,recall,f1-score,support
normal,0.0,0.0,0.0,5.0
high_pollution,0.9847094801223242,1.0,0.9922958397534669,322.0
accuracy,0.9847094801223242,0.9847094801223242,0.9847094801223242,0.9847094801223242
macro avg,0.4923547400611621,0.5,0.49614791987673346,327.0
weighted avg,0.969652760242778,0.9847094801223242,0.9771231204911816,327.0
roc_auc,0.5,,,327.0
